text,label
Your Netflix account has been limited due to suspicious activity. Verify your identity now.,1
New company policy regarding Remote Work has been updated.,0
Your Bank payment failed. Update your billing information within 19 hours.,1
New company policy regarding Benefits has been updated.,0
Quarterly performance review meetings will be scheduled next month.,0
"Congratulations! You've won $9,482 in our International Mega Lottery lottery. Claim now before it expires!",1
Project Project I deadline has been extended to December 17.,0
Your Bank payment failed. Update your billing information within 9 hours.,1
Training session on Security is scheduled for December 8.,0
SECURITY ALERT: Suspicious login detected on your Bank account from Unknown Location.,1
"IRS Tax Refund: You are eligible for $42,379 refund. Download form to claim.",1
FINAL NOTICE: Your PayPal account will be deleted in 31 hours unless you act now.,1
Your Facebook payment failed. Update your billing information within 30 hours.,1
New company policy regarding Security has been updated.,0
FINAL NOTICE: Your Microsoft account will be deleted in 14 hours unless you act now.,1
You have 4 unread secure messages. Login to view them immediately.,1
You have 9 unread secure messages. Login to view them immediately.,1
Holiday schedule for January has been announced.,0
Your order #ORD-2271 has been shipped and will arrive within 5 business days.,0
"Congratulations! You've won $38,183 in our International Mega Lottery lottery. Claim now before it expires!",1
SECURITY ALERT: Suspicious login detected on your Bank account from Unknown Location.,1
Project Project M deadline has been extended to December 11.,0
Project Project I deadline has been extended to December 21.,0
Your order #ORD-1751 has been shipped and will arrive within 3 business days.,0
Your order #ORD-2331 has been shipped and will arrive within 6 business days.,0
New company policy regarding Benefits has been updated.,0
System maintenance is planned for December 20 from 10:00.,0
Weekly team standup meeting is scheduled for Thursday at 10:00.,0
Thank you for your purchase. Your receipt is attached for order #ORD-2592.,0
Quarterly performance review meetings will be scheduled next month.,0
"IRS Tax Refund: You are eligible for $7,402 refund. Download form to claim.",1
Thank you for your purchase. Your receipt is attached for order #ORD-2182.,0
Quarterly performance review meetings will be scheduled next month.,0
Holiday schedule for January has been announced.,0
FINAL NOTICE: Your PayPal account will be deleted in 34 hours unless you act now.,1
Meeting scheduled for December 5 at 14:00 in Conference Room K. Please bring your reports.,0
Your subscription expires today. Renew now to avoid service interruption.,1
"Congratulations! You've won $35,218 in our International Mega Lottery lottery. Claim now before it expires!",1
Quarterly performance review meetings will be scheduled next month.,0
Training session on Benefits is scheduled for December 17.,0
SECURITY ALERT: Suspicious login detected on your Apple account from Unknown Location.,1
Holiday schedule for March has been announced.,0
You have 8 unread secure messages. Login to view them immediately.,1
Weekly team standup meeting is scheduled for Thursday at 15:00.,0
Your Apple payment failed. Update your billing information within 4 hours.,1
Your subscription expires today. Renew now to avoid service interruption.,1
Weekly team standup meeting is scheduled for Thursday at 15:00.,0
Meeting scheduled for December 1 at 16:00 in Conference Room O. Please bring your reports.,0
"IRS Tax Refund: You are eligible for $43,873 refund. Download form to claim.",1
Quarterly performance review meetings will be scheduled next month.,0
Weekly team standup meeting is scheduled for Thursday at 16:00.,0
Thank you for your purchase. Your receipt is attached for order #ORD-1042.,0
"WINNER ALERT: You've been selected for $39,523 prize. Claim within 13 hours!",1
Your subscription expires today. Renew now to avoid service interruption.,1
Your subscription expires today. Renew now to avoid service interruption.,1
Project Project M deadline has been extended to December 6.,0
New company policy regarding Remote Work has been updated.,0
Thank you for your purchase. Your receipt is attached for order #ORD-1472.,0
"WINNER ALERT: You've been selected for $40,269 prize. Claim within 8 hours!",1
"Congratulations! You've won $27,806 in our International Mega Lottery lottery. Claim now before it expires!",1
"WINNER ALERT: You've been selected for $5,658 prize. Claim within 25 hours!",1
You have 2 unread secure messages. Login to view them immediately.,1
Your Apple payment failed. Update your billing information within 1 hours.,1
Weekly team standup meeting is scheduled for Thursday at 11:00.,0
Quarterly performance review meetings will be scheduled next month.,0
"WINNER ALERT: You've been selected for $18,541 prize. Claim within 47 hours!",1
You have 8 unread secure messages. Login to view them immediately.,1
Holiday schedule for February has been announced.,0
"WINNER ALERT: You've been selected for $46,536 prize. Claim within 18 hours!",1
Thank you for your purchase. Your receipt is attached for order #ORD-2312.,0
SECURITY ALERT: Suspicious login detected on your Bank account from Unknown Location.,1
Your subscription expires today. Renew now to avoid service interruption.,1
"WINNER ALERT: You've been selected for $9,867 prize. Claim within 22 hours!",1
Quarterly performance review meetings will be scheduled next month.,0
Training session on Remote Work is scheduled for December 24.,0
Your Google account has been limited due to suspicious activity. Verify your identity now.,1
Meeting scheduled for December 6 at 11:00 in Conference Room K. Please bring your reports.,0
Holiday schedule for March has been announced.,0
URGENT: Your Google account will be suspended in 30 hours. Click here to verify immediately!,1
Your order #ORD-2231 has been shipped and will arrive within 2 business days.,0
Holiday schedule for January has been announced.,0
Training session on Benefits is scheduled for December 3.,0
Your subscription expires today. Renew now to avoid service interruption.,1
Training session on Remote Work is scheduled for December 5.,0
Quarterly performance review meetings will be scheduled next month.,0
New company policy regarding Benefits has been updated.,0
FINAL NOTICE: Your Microsoft account will be deleted in 17 hours unless you act now.,1
Your subscription expires today. Renew now to avoid service interruption.,1
Meeting scheduled for December 23 at 11:00 in Conference Room I. Please bring your reports.,0
Your subscription expires today. Renew now to avoid service interruption.,1
Your subscription expires today. Renew now to avoid service interruption.,1
Meeting scheduled for December 10 at 14:00 in Conference Room W. Please bring your reports.,0
"IRS Tax Refund: You are eligible for $47,324 refund. Download form to claim.",1
Project Project M deadline has been extended to December 7.,0
"IRS Tax Refund: You are eligible for $47,687 refund. Download form to claim.",1
Thank you for your purchase. Your receipt is attached for order #ORD-2482.,0
Thank you for your purchase. Your receipt is attached for order #ORD-2192.,0
System maintenance is planned for December 25 from 11:00.,0
Holiday schedule for March has been announced.,0
"WINNER ALERT: You've been selected for $34,956 prize. Claim within 2 hours!",1
System maintenance is planned for December 19 from 12:00.,0
New company policy regarding Remote Work has been updated.,0
New company policy regarding Security has been updated.,0
System maintenance is planned for December 7 from 14:00.,0
Holiday schedule for March has been announced.,0
New company policy regarding Benefits has been updated.,0
"WINNER ALERT: You've been selected for $3,546 prize. Claim within 2 hours!",1
FINAL NOTICE: Your PayPal account will be deleted in 9 hours unless you act now.,1
Project Project S deadline has been extended to December 24.,0
"Congratulations! You've won $31,401 in our International Mega Lottery lottery. Claim now before it expires!",1
Your subscription expires today. Renew now to avoid service interruption.,1
SECURITY ALERT: Suspicious login detected on your Amazon account from China.,1
"Congratulations! You've won $24,363 in our International Mega Lottery lottery. Claim now before it expires!",1
Your order #ORD-1071 has been shipped and will arrive within 4 business days.,0
System maintenance is planned for December 16 from 10:00.,0
Holiday schedule for March has been announced.,0
Your subscription expires today. Renew now to avoid service interruption.,1
Your order #ORD-2681 has been shipped and will arrive within 5 business days.,0
Weekly team standup meeting is scheduled for Thursday at 10:00.,0
Training session on Security is scheduled for December 20.,0
Training session on Benefits is scheduled for December 1.,0
"WINNER ALERT: You've been selected for $29,043 prize. Claim within 28 hours!",1
New company policy regarding Security has been updated.,0
URGENT: Your PayPal account will be suspended in 22 hours. Click here to verify immediately!,1
Your Facebook payment failed. Update your billing information within 27 hours.,1
"IRS Tax Refund: You are eligible for $41,651 refund. Download form to claim.",1
FINAL NOTICE: Your Microsoft account will be deleted in 14 hours unless you act now.,1
Your subscription expires today. Renew now to avoid service interruption.,1
"IRS Tax Refund: You are eligible for $36,626 refund. Download form to claim.",1
Your order #ORD-2591 has been shipped and will arrive within 4 business days.,0
Your order #ORD-1541 has been shipped and will arrive within 5 business days.,0
Meeting scheduled for December 19 at 15:00 in Conference Room I. Please bring your reports.,0
Weekly team standup meeting is scheduled for Thursday at 13:00.,0
New company policy regarding Remote Work has been updated.,0
Weekly team standup meeting is scheduled for Thursday at 15:00.,0
Your subscription expires today. Renew now to avoid service interruption.,1
Quarterly performance review meetings will be scheduled next month.,0
System maintenance is planned for December 26 from 13:00.,0
URGENT: Your PayPal account will be suspended in 2 hours. Click here to verify immediately!,1
FINAL NOTICE: Your PayPal account will be deleted in 44 hours unless you act now.,1
"IRS Tax Refund: You are eligible for $42,668 refund. Download form to claim.",1
Training session on Security is scheduled for December 13.,0
New company policy regarding Security has been updated.,0
Thank you for your purchase. Your receipt is attached for order #ORD-1482.,0
Project Project I deadline has been extended to December 3.,0
FINAL NOTICE: Your Google account will be deleted in 20 hours unless you act now.,1
Holiday schedule for February has been announced.,0
Weekly team standup meeting is scheduled for Thursday at 10:00.,0
Meeting scheduled for December 4 at 11:00 in Conference Room W. Please bring your reports.,0
Training session on Benefits is scheduled for December 6.,0
URGENT: Your Microsoft account will be suspended in 17 hours. Click here to verify immediately!,1
You have 9 unread secure messages. Login to view them immediately.,1
"IRS Tax Refund: You are eligible for $24,094 refund. Download form to claim.",1
"Congratulations! You've won $3,278 in our International Mega Lottery lottery. Claim now before it expires!",1
Your Netflix account has been limited due to suspicious activity. Verify your identity now.,1
Quarterly performance review meetings will be scheduled next month.,0
Holiday schedule for February has been announced.,0
Training session on Benefits is scheduled for December 12.,0
Your Google account has been limited due to suspicious activity. Verify your identity now.,1
"WINNER ALERT: You've been selected for $24,535 prize. Claim within 44 hours!",1
Your order #ORD-1561 has been shipped and will arrive within 4 business days.,0
"Congratulations! You've won $23,003 in our International Mega Lottery lottery. Claim now before it expires!",1
System maintenance is planned for December 18 from 9:00.,0
Training session on Remote Work is scheduled for December 9.,0
Holiday schedule for February has been announced.,0
Your order #ORD-2241 has been shipped and will arrive within 4 business days.,0
Your PayPal account has been limited due to suspicious activity. Verify your identity now.,1
SECURITY ALERT: Suspicious login detected on your Apple account from Unknown Location.,1
Training session on Security is scheduled for December 5.,0
SECURITY ALERT: Suspicious login detected on your Amazon account from China.,1
"Congratulations! You've won $45,396 in our International Mega Lottery lottery. Claim now before it expires!",1
Your subscription expires today. Renew now to avoid service interruption.,1
Your subscription expires today. Renew now to avoid service interruption.,1
Meeting scheduled for December 26 at 10:00 in Conference Room U. Please bring your reports.,0
"WINNER ALERT: You've been selected for $26,923 prize. Claim within 24 hours!",1
Your Apple payment failed. Update your billing information within 33 hours.,1
System maintenance is planned for December 10 from 14:00.,0
Your subscription expires today. Renew now to avoid service interruption.,1
Your order #ORD-2871 has been shipped and will arrive within 2 business days.,0
Your subscription expires today. Renew now to avoid service interruption.,1
Holiday schedule for January has been announced.,0
SECURITY ALERT: Suspicious login detected on your Amazon account from China.,1
Your Netflix account has been limited due to suspicious activity. Verify your identity now.,1
"WINNER ALERT: You've been selected for $46,844 prize. Claim within 16 hours!",1
"Congratulations! You've won $8,184 in our International Mega Lottery lottery. Claim now before it expires!",1
Quarterly performance review meetings will be scheduled next month.,0
Thank you for your purchase. Your receipt is attached for order #ORD-1202.,0
FINAL NOTICE: Your Netflix account will be deleted in 16 hours unless you act now.,1
System maintenance is planned for December 24 from 11:00.,0
Quarterly performance review meetings will be scheduled next month.,0
Your Netflix account has been limited due to suspicious activity. Verify your identity now.,1
"IRS Tax Refund: You are eligible for $6,013 refund. Download form to claim.",1
Holiday schedule for March has been announced.,0
Training session on Security is scheduled for December 1.,0
Your subscription expires today. Renew now to avoid service interruption.,1
Project Project O deadline has been extended to December 10.,0
You have 7 unread secure messages. Login to view them immediately.,1
Holiday schedule for February has been announced.,0
"IRS Tax Refund: You are eligible for $49,632 refund. Download form to claim.",1
URGENT: Your Microsoft account will be suspended in 32 hours. Click here to verify immediately!,1
System maintenance is planned for December 7 from 15:00.,0
SECURITY ALERT: Suspicious login detected on your Bank account from Unknown Location.,1
Your Amazon payment failed. Update your billing information within 37 hours.,1
Your Google account has been limited due to suspicious activity. Verify your identity now.,1
SECURITY ALERT: Suspicious login detected on your Amazon account from China.,1
"WINNER ALERT: You've been selected for $7,882 prize. Claim within 44 hours!",1
Holiday schedule for February has been announced.,0
"WINNER ALERT: You've been selected for $25,096 prize. Claim within 4 hours!",1
Your subscription expires today. Renew now to avoid service interruption.,1
Holiday schedule for March has been announced.,0
Your Netflix account has been limited due to suspicious activity. Verify your identity now.,1
"Congratulations! You've won $39,321 in our International Mega Lottery lottery. Claim now before it expires!",1
SECURITY ALERT: Suspicious login detected on your Bank account from Unknown Location.,1
Project Project U deadline has been extended to December 10.,0
FINAL NOTICE: Your Microsoft account will be deleted in 11 hours unless you act now.,1
Your Amazon payment failed. Update your billing information within 22 hours.,1
Meeting scheduled for December 11 at 13:00 in Conference Room S. Please bring your reports.,0
"WINNER ALERT: You've been selected for $40,046 prize. Claim within 25 hours!",1
New company policy regarding Remote Work has been updated.,0
URGENT: Your Netflix account will be suspended in 45 hours. Click here to verify immediately!,1
Your order #ORD-2881 has been shipped and will arrive within 3 business days.,0
FINAL NOTICE: Your Google account will be deleted in 16 hours unless you act now.,1
Holiday schedule for January has been announced.,0
"Congratulations! You've won $7,786 in our International Mega Lottery lottery. Claim now before it expires!",1
You have 4 unread secure messages. Login to view them immediately.,1
New company policy regarding Remote Work has been updated.,0
SECURITY ALERT: Suspicious login detected on your Facebook account from China.,1
Your Apple payment failed. Update your billing information within 28 hours.,1
You have 3 unread secure messages. Login to view them immediately.,1
You have 2 unread secure messages. Login to view them immediately.,1
FINAL NOTICE: Your Microsoft account will be deleted in 16 hours unless you act now.,1
URGENT: Your Google account will be suspended in 10 hours. Click here to verify immediately!,1
Your Microsoft account has been limited due to suspicious activity. Verify your identity now.,1
URGENT: Your Microsoft account will be suspended in 35 hours. Click here to verify immediately!,1
URGENT: Your Microsoft account will be suspended in 1 hours. Click here to verify immediately!,1
System maintenance is planned for December 23 from 9:00.,0
Project Project M deadline has been extended to December 3.,0
"Congratulations! You've won $18,502 in our International Mega Lottery lottery. Claim now before it expires!",1
"IRS Tax Refund: You are eligible for $41,395 refund. Download form to claim.",1
Your subscription expires today. Renew now to avoid service interruption.,1
URGENT: Your Netflix account will be suspended in 15 hours. Click here to verify immediately!,1
URGENT: Your PayPal account will be suspended in 2 hours. Click here to verify immediately!,1
You have 2 unread secure messages. Login to view them immediately.,1
Quarterly performance review meetings will be scheduled next month.,0
System maintenance is planned for December 10 from 14:00.,0
Meeting scheduled for December 26 at 9:00 in Conference Room K. Please bring your reports.,0
Your Google account has been limited due to suspicious activity. Verify your identity now.,1
You have 3 unread secure messages. Login to view them immediately.,1
New company policy regarding Security has been updated.,0
Your order #ORD-1881 has been shipped and will arrive within 4 business days.,0
New company policy regarding Security has been updated.,0
Project Project E deadline has been extended to December 15.,0
"IRS Tax Refund: You are eligible for $22,335 refund. Download form to claim.",1
"IRS Tax Refund: You are eligible for $38,655 refund. Download form to claim.",1
Project Project A deadline has been extended to December 15.,0
Your subscription expires today. Renew now to avoid service interruption.,1
Project Project C deadline has been extended to December 12.,0
Holiday schedule for January has been announced.,0
"WINNER ALERT: You've been selected for $44,984 prize. Claim within 26 hours!",1
Your order #ORD-2841 has been shipped and will arrive within 3 business days.,0
Meeting scheduled for December 22 at 13:00 in Conference Room C. Please bring your reports.,0
Thank you for your purchase. Your receipt is attached for order #ORD-2992.,0
"IRS Tax Refund: You are eligible for $30,882 refund. Download form to claim.",1
Weekly team standup meeting is scheduled for Thursday at 15:00.,0
Your order #ORD-2381 has been shipped and will arrive within 4 business days.,0
Quarterly performance review meetings will be scheduled next month.,0
Thank you for your purchase. Your receipt is attached for order #ORD-2292.,0
SECURITY ALERT: Suspicious login detected on your Facebook account from China.,1
URGENT: Your Netflix account will be suspended in 36 hours. Click here to verify immediately!,1
FINAL NOTICE: Your PayPal account will be deleted in 32 hours unless you act now.,1
FINAL NOTICE: Your Netflix account will be deleted in 37 hours unless you act now.,1
SECURITY ALERT: Suspicious login detected on your Amazon account from China.,1
Weekly team standup meeting is scheduled for Thursday at 15:00.,0
Quarterly performance review meetings will be scheduled next month.,0
Your subscription expires today. Renew now to avoid service interruption.,1
Project Project E deadline has been extended to December 4.,0
Training session on Benefits is scheduled for December 17.,0
FINAL NOTICE: Your Netflix account will be deleted in 33 hours unless you act now.,1
Quarterly performance review meetings will be scheduled next month.,0
Meeting scheduled for December 13 at 11:00 in Conference Room I. Please bring your reports.,0
Training session on Remote Work is scheduled for December 5.,0
Your Facebook payment failed. Update your billing information within 17 hours.,1
"IRS Tax Refund: You are eligible for $36,012 refund. Download form to claim.",1
Your subscription expires today. Renew now to avoid service interruption.,1
FINAL NOTICE: Your PayPal account will be deleted in 24 hours unless you act now.,1
You have 8 unread secure messages. Login to view them immediately.,1
Project Project K deadline has been extended to December 4.,0
"WINNER ALERT: You've been selected for $25,252 prize. Claim within 8 hours!",1
"WINNER ALERT: You've been selected for $19,158 prize. Claim within 38 hours!",1
URGENT: Your Microsoft account will be suspended in 18 hours. Click here to verify immediately!,1
Weekly team standup meeting is scheduled for Thursday at 15:00.,0
Your Bank payment failed. Update your billing information within 30 hours.,1
Weekly team standup meeting is scheduled for Thursday at 14:00.,0
You have 6 unread secure messages. Login to view them immediately.,1
"Congratulations! You've won $1,808 in our International Mega Lottery lottery. Claim now before it expires!",1
URGENT: Your Netflix account will be suspended in 31 hours. Click here to verify immediately!,1
FINAL NOTICE: Your Google account will be deleted in 7 hours unless you act now.,1
Your Netflix account has been limited due to suspicious activity. Verify your identity now.,1
URGENT: Your PayPal account will be suspended in 12 hours. Click here to verify immediately!,1
SECURITY ALERT: Suspicious login detected on your Facebook account from China.,1
Training session on Security is scheduled for December 20.,0
Project Project U deadline has been extended to December 2.,0
Thank you for your purchase. Your receipt is attached for order #ORD-2362.,0
Training session on Benefits is scheduled for December 8.,0
